Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Unique Received From Addresses,min value received,max value received ,avg val received,min val sent,avg val sent,total transactions (including tnx to create contract,total ether received,total ether balance
0x6d54c9bf6fedbcf8ff3590e83cea6e8158cba49a,0,28514.02,11936.93,698930.08,5,0.008,60.195,10.316333,0.0,2.809545,28,61.898,0.088
0xdc45871c64dfa96863549f7728638e75e722aeca,1,3327.5,6515.91,187859.2,11,0.0051814625008686,5.0,0.6898084352692975,0.0052645433008686,0.3048507010407818,44,8.967509658500868,-0.4828620737633679
0x8B84AF89c167749d60e2052B0533D8cad1d91722,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x33835f746c31ab95209c2f5eccf74f12688554a3,0,9.68,2648.06,946039.25,17,0.005492,28.79,0.553682,0.061843,0.571426,700,197.1106614,0.540286125
0x4de70f14ae7e62e61a57957940a7a4c5ec6aaa93,0,162.5,0.24,325.48,2,10.939972,90.060028,50.5,6.067009,50.499487,4,101.0,0.001026218
0x45be5c265cee05d129932e0e45a831fd0f02845c,1,11.39,5.13,55.82,2,0.0066544,0.04,0.0233272,0.0,0.0,6,0.0466544,0.0466544
0xa82bda08f8471da7d9a698607381d8a583f5b50b,0,3542.1,7215.61,770224.87,13,0.0086349999999999,19.993649,3.706068,0.0,3.282572,149,244.6004971,-27.85296574
0xa61e37b0ed9f43f46f63c91aa6774f4d15ac0ce8,0,3.31,0.03,9.97,2,519.146323,1481.853677,1000.5,20.01,666.999528,5,2001.0,0.001414909
0x64561b8d448c43e869bc92211710a8c558657451,0,0.0,6299.23,226772.25,3,0.0,1.001571,0.898683,0.0,0.0,37,32.35258584,32.35258584
0x747d762047696c7b6279584215a229a4ef11a730,0,170.65,2356.55,326796.63,4,0.004005,1.279099,0.977181,0.99468,1.207463,237,128.0107003,0.019589374
0xf7fb243ff0df4b35f5f7fa5317c128f16e71cf9a,1,0.0,1184.97,26069.37,17,0.090005,8.0,1.6618849999999998,0.0,0.0,22,36.56147383,36.56147383
0x450b4c46b504dee8caae1ab42b1430176dc59133,0,1172.83,1486.36,15955.08,6,0.1,2.011154,0.994549,0.0,0.993871,12,5.96729379,0.004069968
0x02bc7852a518c506e2bf23c952ec9f341f2f2e0e,0,0.0,1995.75,319320.53,3,0.0,1.6777259999999998,0.670056,0.0,0.0,161,107.2089593,107.2089593
0x3ff5158a18310564983462a16686901dee1c8fbd,0,250.97,307.42,315727.97,2,0.5,749.995,187.952069,0.0001,9.217543,1245,10901.22,-40.00334258
0x83915e4ff807ba28b53931f923247c9fa0147eb9,1,212.63,59.16,3746.0,12,7.71575e-06,0.31752206,0.03725157,0.0,0.937928571,27,0.484270408,-12.64672959
0x9ce3f3539f400ba84bd951eb57bc788af730c628,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xc4574e92e9ced311a75bc4db464da1a24e9f7a0c,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xa718fa5ed2cb4671acb22d896209d04dad3b2e69,0,8770.2,117277.82,1008384.1,5,0.49,9.078019,3.019727,0.05,2.765625,16,24.15781732,2.03281732
0x813ca840322e3795702300bb3ebaf7aee9af9536,1,356.08,1365.94,6292.7,2,0.1,1.999958,1.049979,0.0,0.209903,12,2.099958,0.000924
0x7e41b3be33656f861398e9c317165161dd7d44e6,0,5.25,2076.86,1041040.9,3,0.010338,1.472575,0.3604,0.099326,0.361857,997,180.2001829,0.35732594
0x40a7fcfd6fa60da3c60197a8bc3680db0189a3ff,0,444.0,2284.99,597204.92,5,0.005815,1.0,0.15794,0.005773,0.158237,437,34.58892278,0.093252805
0x0f85f56b4b89d66e18656337f0e7c98499348302,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x2A7D04018D7295D8069Ec9721eE415c4Bdc57909,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x77102c05890ec691c86482883169bbb55746fd3c,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x409de70d8ad0135e6fd91f343899b93d903c998b,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x655bcd5db11edf03a4a8460373222ff2e9b918b8,0,1720.95,16132.88,71415.3,4,0.9893,360.999559,90.997286,0.98836,90.996551,8,363.9891436,0.002937845
0x76524f023c42cb4018d24b8097959b2ecf8fa8ea,1,42309.29,119.79,85576.9,8,0.003,8.0,1.257726,0.12735,5.028675,10,10.06181033,0.00446033
0x3cbee337fdac5ab97a0a371939120943bdc618c9,0,606.15,11064.5,552554.17,6,0.0,186.0,27.466091,0.0,1.710984,532,604.254,-268.348
0x319aa8a0fb91e6f0db3d505c4758f08e58385104,0,0.0,0.0,57.45,1,0.227921,0.227921,0.227921,0.227417,0.227417,2,0.22792103,0.000504
0xF9035283551213f49d78a8467BeD94E4b388676e,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x53bac84bc7914540b965b90d2af097bec0fd72fd,0,0.0,0.0,27.92,1,5.0,5.0,5.0,4.9978,4.9978,2,5.0,0.0022
0xf618041ef3d1423ce29a71d8bcdd748202071151,1,659.48,166.56,40013.05,149,0.2,2.5,0.296787879,1.0,2.576245144,184,48.97,0.02134227
0x1c91eff83150024d313f8f5032f1e4259159d092,0,0.0,3263.35,283911.55,3,0.0,0.469651,0.225746,0.0,0.0,88,19.63990523,19.63990523
0xdb72d3cbe827afa4b223cd928e4f9bed7418444e,1,1339.42,2436.62,14006.97,3,0.0689154884041981,1.01,0.6929718294680661,0.0,0.412,8,2.078915488404198,0.0189154884041981
0x4ef42927687b96cffadc1fd1037898a8c3d5d418,1,857.31,786.09,42657.27,25,0.098309595,23.58416291,1.66431204,0.0,1.794028605,52,44.93642507,0.085709958
0xbd404d8ad92e5ac4fa0a5b1ed6f0ec1af6769b42,0,0.0,0.0,81655.95,1,0.1,0.1,0.1,0.09955,0.09955,2,0.1,0.00045
0x6e4948c43e76ae9903f1bb21cf4dffb1e6342e5a,0,1.46,0.0,4.37,2,943.31416,1057.68584,1000.5,50.9,666.999528,5,2001.0,0.001414909
0x6c4cb4c6c533505b7132babd6a35e68ff74012ce,1,518.48,35.92,10441.48,2,86.0,94.2282258250834,90.11411291254171,0.0,9.007806943804171,22,180.2282258250834,0.072086949
0x446c233AE1f969D3063AA4b477b02764414C536e,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x805547869741f83c9ac325a2dc034cb7b1cdc5a6,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x60c192b164aa0f7f5fcbd532cc7e31741d1cf2b4,1,304.65,109.57,52983.08,300,0.000116377,0.75,0.162406442,0.047392857,1.371698224,407,59.11594483,0.132921177
0x08f33665d6c457a8328771c0f265903f6804e832,0,160.48,0.69,322.35,2,44.357836,56.642164,50.5,0.5,50.499508,4,101.0,0.000984218
0xb19277f4d64e6d1b3b5a2c6a56ae46bb5c90bcf5,0,4.31,18491.47,73983.1,2,0.063985,1.838791,0.515606,0.063513,0.514998,8,2.062422739,0.002429362
0x7aaa3a63305ed321399e753be442053b7e2c802b,0,4.28,3506.79,333550.87,3,0.048406,1.012701,0.21508,0.047986,0.214641,190,20.43257717,0.041673635
0x0f5f71a5aee1a673ccb0575c08c4ea9579476b25,0,733.09,811.45,139534.27,21,0.052,62.354363,8.825307,0.0,6.719712,182,688.3739371,-10.4760629
0xabc6256fd134ea8768af2ef1d32c922cba4d7716,0,1390.69,10460.76,299067.45,3,0.011878,99.995,17.972795,0.0,16.637985,52,449.3198647,0.094272728
0x6e10d1535bbf39416f67f856282890f83e02dafc,0,86885.88,19454.28,859790.03,4,1.5,30.0,9.37475,0.0,1.257675,13,37.499,26.17992364
0x8DdFdF60aAfFe05C623ba193a186Abd1f8024946,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x5fc7680a0a7a749217a83af5650ed503c9a30cf7,0,0.0,0.0,417.5,1,2.286025,2.286025,2.286025,2.285405,2.285405,2,2.28602546,0.00062
0xa9695c327fbf646ac13996a6062c1d3c50d5ca5d,0,42495.49,70717.16,566063.23,5,0.001324,40.851283,9.186521,0.001812,9.18495,10,45.9326075,0.007856384
0x9840ae05cfb87e6288fc312060b0f62f3809b954,0,16950.49,13341.48,336820.63,8,0.007811,1.032521,0.214007,0.0,0.177467,22,2.14006902,0.010466652
0x3f645557753c1e01ea4229bb0bbcb1fee76e0b33,1,821.23,99.68,1219.93,4,1.0,4.713737981293479,1.9869344953233696,7.946876981293478,7.946876981293479,5,7.9477379812934785,0.000861
0x40fa542f58d0aefeff55467e23e817a0207382bf,0,163.83,0.0,327.67,1,101.0,101.0,101.0,0.6,50.499508,3,101.0,0.000984218
0xa054aa815d86b127e351dd139ddf489ebfdf88c3,0,25.56,0.0,51.12,1,101.0,101.0,101.0,15.0,50.499475,3,101.0,0.00105
0x52719dbcc920aaaab0778952556f3b75a49257b2,1,1138.41,3728.53,15739.22,3,0.1,0.2,0.1333333333333333,0.03224506,0.099538,7,0.4,0.001848
0x99D8605b397deFF796B27B996b3Bb6C71BBE74ee,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x0ce2eaf01543132b88e5e8156fcad978994a9cf6,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x4e48c14d2ef1a20a3b831eb418346b6f1b50cf1b,0,0.0,0.0,276.62,1,0.255239,0.255239,0.255239,0.254619,0.254619,2,0.25523878,0.00062
0x75f39ce7fc5d94361437d103a3334ffae6c0b2e5,1,2.0,0.0,2.0,1,3.199118,3.199118,3.199118,3.198698,3.198698,2,3.199118,0.00042
0x7b145b993641ee5031b0328a4dbee2ac22477749,0,0.0,0.0,1989.05,1,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
0x7af7e527111088562a0609ff7bd6d6fbdee3488b,0,1229.11,482.69,512714.22,97,0.0,413.8,23.750236,0.0,20.079526,572,6056.310258,-308.8995718000001
0xb4b18bf6f39335fc4f79600f5ca6e38ad75cce0b,0,321.93,962.94,382871.88,3,0.03,3.000382,0.955712,0.497988,1.051252,582,291.4922005,0.295520127
0xc1c938ed72e2d609c0ac0084d30f6ae438a99dc4,0,165.67,0.0,331.33,2,9.744303,91.255697,50.5,1.089758,50.499487,4,101.0,0.001026218
0x606d3a1a43231158f12df9b866a4a4d24441c14c,0,0.0,0.0,60329.77,1,1.0,1.0,1.0,0.999559,0.999559,2,1.0,0.000441
0xba4806b5acb965f9cbe665aeb9ca896f1c0aaef7,0,162.63,0.43,326.13,2,22.974836,78.025164,50.5,0.940096,50.499508,4,101.0,0.000984218
0xb745e13c7e524836f523c5daab953eb9cb38e937,0,164.07,0.0,328.15,1,101.0,101.0,101.0,0.5,50.499487,3,101.0,0.001026218
0x59cbd436237318f7cb9c92ddb060b1a023598363,1,578.48,32.73,1386.05,7,0.0,8.87,2.44510706,8.06429937,8.557149685,9,17.11574942,0.00145005
0x5caa556d0b8fa8622b1746bcc1211429737dcafc,1,0.0,177.06,17245.65,4,0.61479,1.9,1.083029,4.331065,4.331065,5,4.3321153,0.00105
0x7bb913367979ce5d9432ba1cd2c6d0b7b7572d25,0,2.48,0.0,7.45,2,642.7439929999998,1358.256007,1000.5,0.142918,666.999528,5,2001.0,0.001414909
0x315c2276fe4632738fa41febe6747b620aabaae4,0,17163.1,8592.65,566559.85,5,0.00941,0.752225,0.418954,0.0,0.267365,41,6.703263673,0.019143125
0x8c4559ac7b78b0a129e9a05684e31e82a7b531fc,0,22.29,0.0,66.87,1,101.0,101.0,101.0,1.0,33.666149,4,101.0,0.0015539999999999
0x36ef72ace88d409c2d5ef4d9c8a6c723763905a1,0,9673.63,8132.74,966339.17,6,0.0069999999999999,112.746,32.662884000000005,0.0,68.954255,112,2482.379209,0.026041719
0xaafea52dbb7c4cc86ac554d08fc020f2f560dbcc,0,163.93,1.11,330.08,2,40.931046,60.06895400000001,50.5,0.504854,50.499487,4,101.0,0.001026218
0xb8af5fe2db34d1a5784e035d315851de4f695019,0,50.83,2332.58,1121818.87,3,0.031121,1.020928,0.709956,0.000695,0.8165279999999999,882,335.0990407,0.322504635
0xb23d6679b077b336078d686ff9e70280866f5e6c,0,163.95,0.0,327.9,2,45.38084,55.61916,50.5,0.05,50.499508,4,101.0,0.000984218
0x95ffcdf36129e5e256190609cd97841d03e52356,1,7437.77,89.42,112192.57,7,0.5,3.016449,0.93235,0.008015,0.434236,22,6.526449375,0.012915
0x24c8dfd9c34eaf2ff292002641f9176691f832a4,0,0.0,3286.7,226781.97,3,0.0,4.820004,2.15269,0.0,0.0,70,148.5356299,148.5356299
0x081a48fcfb87ddc415c31ddae1eb3ba5d5696cdb,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.004941,0.004941,1,0.0,-0.004940665
0x1f8cd5f7793eb15824e3ab57ba47dbe63f4f6489,0,0.0,15.95,31.9,2,0.02,0.115097,0.067549,0.0,0.0,2,0.13509747,0.13509747
0x1b8ee5cB5520ea3d12F64a8973c2A4F0cbcB1564,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x962b55decacd69b74d83a1738b1e42c1e834a029,1,304.38,1233.99,15046.42,8,0.03,1.0,0.16625,0.0,0.0752941176470588,25,1.33,0.05
0x270450a535c225fc624d505ebd556efd4eaff5f6,0,14.76,6761.68,690842.18,42,0.001213,40.0,3.919094,0.508337,5.1242160000000005,180,399.7476348,0.05877893
0x03c0e9a2a106ebb0858bcf767613059edf72ef96,0,0.0,191.0,310191.97,1,0.0,0.0,0.0,0.0,0.0,1624,0.0,0.0
0x0ead5b0235a53176449b5215e59da6b0412b39ee,0,30.35,17749.04,35558.78,2,10.722254,15.0,12.861127,10.72175,12.860612,4,25.722254,0.001030958
0x415b2648463d3720238db148d37a3da94aa5f8bd,0,7071.24,9215.18,761625.25,11,0.005,140.0,24.114055,0.0,68.147821,88,1567.413552,0.013673762
0x4a870e2c2bed01331247d01de3c911e23f6c0150,0,3.24,0.0,9.72,2,114.738475,1886.261525,1000.5,18.636936,666.999528,5,2001.0,0.001414909
0x968fd08c71e989d2fdff654401ae4588e3c8c5dd,0,12.28,18447.42,203032.08,10,0.1,1.4,0.5109090000000001,0.189475,0.6239640000000001,20,5.62,0.00432083
0xf8abBDc8578B940b82906a2E8da893B164D4FA59,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x615aa7863d1da3c20efbe2a2be293c8c97cffbe7,0,0.0,2940.51,217597.67,4,0.0,0.723467,0.374223,0.0,0.0,75,27.69248666,27.69248666
0x35ea42f703b3b87b400833bd5d425810392ac7fc,0,23.98,761.55,1541063.2,12,0.0,14.99,0.6590090000000001,0.483114,1.012759,3272,1306.814135,1.368378233
0x3Cf5b9484aB874aF65eBF7713337a03814538B0d,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x30efbc173d2c2b5190ff5b7eade657ecaaabcb1c,0,159.43,0.75,321.12,3,7.368678,82.998948,33.666667,50.0,50.499508,5,101.0,0.000984218
0x5f58fe612db5b3e97faf4a2e8f38b4ae295288aa,1,0.0,347.67,24415.43,7,0.0,1.283302,0.603911,6.038686,6.038686,11,6.03910554,0.00042
0x3011d01339f933e6c7a9a992fd22794ffac424e7,0,0.0,0.0,1.87,1,25.0,25.0,25.0,24.99909,24.99909,2,25.0,0.00091
0x87b4eed5a781d8b847645082410070f002b41e13,1,6616.51,72551.03,369602.2,4,0.0,63.240212,19.255872,0.0,6.418933,16,77.0234898,-0.003702399
0x8d557b8e5008a485717d57e489f23be65d548193,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xacc1205e2ab1c7aafc98f72b2393d893dea89abd,0,14.11,11932.14,35838.77,1,1.0,6.0,3.666667,0.999496,3.666128,6,11.0,0.001617
0x69e77de30f93fc19e5d5c0bc5d1a8e5cd1c29f0c,0,0.0,0.0,3.67,1,0.614,0.614,0.614,0.613528,0.613528,2,0.614,0.000471636
0x8ad47ab9540db021816c82299a6ce772a4f12f27,0,416.76,1477.96,573652.23,1,0.009985,1.046363,0.446885,0.0079,0.624112,554,144.3438507,0.173978283
0x7cd912f8df67b1e56e7aa82a66f4a518c76c0108,1,235.39,2703.37,19394.35,6,0.001825,0.9,0.396921,1.17957,1.383792,9,2.77844426,0.010861
0x12ccf4b7010f5b201c8fda0f880f0ba63b1a88f3,1,1.26,64845.8,260673.6,3,0.04519231,191.3042629,49.58637155,0.0,0.95253325,1026,198.3454862,-775.1434953
0xbce50536f6f7ed3575ffddd4d9381b0ca701d6b4,0,25.17,0.0,75.52,2,41.064852,59.935148,50.5,13.906797,33.666163,5,101.0,0.001512
0x3d52005241573745a89eb188645c19e9fdaaa78f,0,17.87,3229.4,694915.02,4,0.009155,0.999571,0.0825429999999999,0.008924,0.081824,428,17.6641815,0.153782052
0x17512af8cc6ee010d89ff5f5b981239e23978ed0,0,0.0,9042.13,198926.8,6,0.0,5.999495,1.588658,0.0,0.0,23,34.95046961,34.95046961
0x1f56f9c7e734c008ce3e4a68e3424ad15de86f7c,0,0.0,0.0,29.83,1,0.432919,0.432919,0.432919,0.432415,0.432415,2,0.43291917,0.000504
0xcb48b93ec970396d250eb692fe406191b2cf1f1f,0,3.8,21915.69,43838.98,2,20.0,23.255814,21.627907,19.999372,21.626993,4,43.25581395,0.00182791
0x4731b0b5f7d443f3362d59e98ec255c3919076bd,0,0.0,350.31,18744.68,2,6.740103,20.488948,11.874546,47.49612800000001,47.49612800000001,5,47.49818594,0.002058098
0xcc1f37c23a5fb17220c2f66b0c44713e1cb22abb,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xa5578cf79d7bdbbbef691bc76c9af5abb30e6365,0,66.19,47.02,3245.92,47,0.002635,0.098,0.0736899999999999,0.092,0.9068,67,4.568767472,0.034767472
0x299628fd380813622305517e64eee89bb6a49ca3,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x37acc28ca8154ba04d4edef97cf8d3fc6f313ca4,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x2997269e23D8aefbB1B0Addd6eC95a9616B32F06,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x47e0cdbea4da809a68e3b60d30634d25e1b63640,0,1.24,0.68,5.08,2,424.4250530000001,1576.574947,1000.5,1.0,666.999528,5,2001.0,0.001414909
0x92784b9d7039c9eb175588326b5df8c65cd2fbd6,0,3404.25,934.32,1243980.95,4,0.010005,14.63998,1.258539,0.20822,195.246139,1305,1629.808169,-322.6532213
0x68de5670216c7f4797e199c7729cbb960858c3b0,0,0.0,1785.46,226753.93,3,0.0,0.5216390000000001,0.244173,0.0,0.0,128,31.01001793,31.01001793
0x8dc2c980d25b586c5c110ec3c477e985b9acad8b,1,0.0,29495.38,176972.28,3,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
0x5b5039be7a3a8b779d21908f1000e221f3574fa5,1,0.0,1225.6,15712.12,10,0.465461,1.5626,0.747782,7.475743,7.475743,11,7.477821704,0.002079
0x4901494636635c3c1233b7f09ae9591d15cfbb1f,1,31.87,13.68,154.85,2,0.1,1.0,0.55,0.0,78.1569461,6,1.1,-311.5277844
0xe83c930ab539124f21de02b2d94ecb58b8406c04,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xeb91b559f640cf341947836ca70f3a3ea46ed3d3,1,18.13,95.79,2317.03,19,0.2,1.0,0.241666667,5.79840663,5.79840663,25,5.8,0.00159337
0x3b9753f3331645e26691f40191f78065dc7cd68c,0,0.0,0.0,6.1,1,0.199608,0.199608,0.199608,0.199136,0.199136,2,0.199607581,0.000471636
0xa71e7a42d332c615786d99f8600fff4fb0b67564,0,0.0,0.0,6.92,1,4.0,4.0,4.0,0.0,0.0,2,4.0,4.0
0x1816dddb4ed2a96f99c3ec5aba218eed503b148f,0,2059.28,12969.45,515353.27,7,0.09,8.796278,2.725619,0.0,0.809813,139,57.23798908,-38.31991846
0x0690b9957bbc960f865f9262e4ba4f7a2db80bb4,0,4.14,8490.96,16990.2,2,0.057632,0.809245,0.433439,0.056832,0.432594,4,0.86687716,0.001689062
0xc80bf9bd2ba59064be000eea92aed19eefb333a1,1,354.75,1354.28,96606.9,53,0.00015,1.05,0.209877344,0.016090784,0.475498957,92,13.43215,0.118179216
0x4042f43d88f5b626d37c3a4c1b584d8880984609,0,0.0,0.0,98.15,1,2.0,2.0,2.0,1.9978,1.9978,2,2.0,0.0022
0x006aaaff2ff3358bc8453febaba4e236b028df80,0,1969.46,288.59,97419.95,4,0.09,99.99,25.810391,0.0,6.758479,58,258.1039104,-66.3030896
0x1754B31a157DD2E2CF6BCb2C02891cF4dafF485D,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x4bd1d31cead13d2f439165595aa7b8478f834bfe,0,18.77,0.0,56.32,1,101.0,101.0,101.0,3.378226,33.666149,4,101.0,0.0015539999999999
0xfc6bb078ec56c85e8f7addfed0f2de6cb86ee3c3,1,14552.41,5103.36,138348.05,8,0.0,0.3,0.04571,0.033273,0.0751169999999999,16,0.4571,0.0063986
0x947d6b5bd95796207b4963c3fc7f98a68f32947b,0,197165.4,0.0,985827.02,0,0.0,0.0,0.0,0.0,0.001183,5,0.0,-0.00591358
0x98a630280447461ab2156919b0941ebdeae5bc41,1,393.72,0.0,787.43,1,0.495,0.495,0.495,0.143287,0.247017,3,0.495,0.000966
0xc9465ce086cefa466542036594c3be4dfc2790d7,1,6287.19,529.05,79678.72,6,1.0,10.545,3.573234485,0.00428,5.558565000000001,20,28.58587588,-38.11690412
0x30681211b3e2d6ba114a7ef9f6ccd73dcd8da77d,0,0.0,30.57,313.93,1,0.999559,0.999559,0.999559,1.998498,1.998498,3,1.999118,0.00062
0x0244d7e1ffe01940b1ffcebca3f09efab13fe664,0,159.83,0.92,321.5,2,14.242353,86.75764699999998,50.5,2.0,50.499508,4,101.0,0.000984218
0x35aa21bbe598bb7782b97a6e3d1676b8d41c7a48,1,3618.44,2751.66,291937.72,70,0.01,1.03948331,0.0899082067989099,0.0,0.6147994758085946,102,8.00183040510299,0.009437219591259
0x2652f8ac97fbb8728a97f07e5666adf708b433c5,0,32673.7,54225.86,293372.35,2,0.01,10.0,4.843387,0.01,3.631067,7,14.53016,0.00589
0xb05c1c90b6c248cae5e3feb5dc41bbed790b283d,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0xbac9ac2544a993125e6d81446429397f1901ebb8,0,730.95,26325.58,746759.15,5,0.0,999.99,157.556586,0.0,7.5070770000000016,603,1890.679032,-2546.003748
0xb300f2a0fa449b97a1069ea7ad654aca486f64b5,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0x7c77b46b308f87cc713a6901a75a637f328da728,0,35156.46,8243.51,516921.03,1,2.6,15.0,9.2,0.0,2.008357,17,27.6,-0.517
0xa9de949762755442cb41a426bfa3e6be604c4324,1,886.95,4085.46,26635.98,5,0.01,0.18515036,0.1060707309158582,0.0,0.0735517036363273,12,0.5303536545792913,0.015491729125
